epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.81877,0.9743,3.88779,1.03274,0.02775,0.22322,0.03801,0.03151,0.94624,3.95443,0.98675,9.09e-06,9.09e-06,9.09e-06
2,15.9785,0.99783,3.82878,1.01483,0.04617,0.26489,0.05207,0.04297,0.866,3.92622,0.96143,2.7e-05,2.7e-05,2.7e-05
3,23.5925,0.92136,3.79755,1.00109,0.04079,0.30179,0.05798,0.04682,0.74361,3.87191,0.91817,4.45501e-05,4.45501e-05,4.45501e-05
4,29.9937,0.84902,3.64427,0.94865,0.02912,0.41469,0.06089,0.04991,0.66034,3.79014,0.87969,6.17402e-05,6.17402e-05,6.17402e-05
5,36.1475,0.79031,3.60868,1.02741,0.03548,0.59095,0.09264,0.07384,0.63683,3.7245,0.85398,7.85703e-05,7.85703e-05,7.85703e-05
6,42.2825,0.87962,3.57409,0.98881,0.04195,0.77069,0.12844,0.09599,0.64091,3.68499,0.83941,9.50405e-05,9.50405e-05,9.50405e-05
7,48.4193,0.8491,3.44496,0.96609,0.03823,0.84311,0.16535,0.13611,0.65876,3.65284,0.83937,0.000111151,0.000111151,0.000111151
8,54.5265,0.85383,3.3569,0.94744,0.03348,0.92773,0.1923,0.14994,0.69919,3.61867,0.84286,0.000126901,0.000126901,0.000126901
9,60.606,0.77467,3.22688,0.95095,0.03095,0.94195,0.2067,0.16087,0.70846,3.6061,0.84143,0.000142291,0.000142291,0.000142291
10,66.7855,0.8504,3.27349,0.91882,0.031,0.97808,0.23169,0.1779,0.71425,3.58551,0.84083,0.000157322,0.000157322,0.000157322
11,73.0648,0.76127,3.14624,0.92771,0.02917,0.98701,0.25214,0.19363,0.72391,3.56478,0.84214,0.000171992,0.000171992,0.000171992
12,79.2972,0.79568,3.19385,0.924,0.02869,0.98701,0.29849,0.22827,0.70358,3.54188,0.8362,0.000186302,0.000186302,0.000186302
13,85.5565,0.75558,3.06744,0.9239,0.02793,0.98701,0.34403,0.27313,0.67498,3.5176,0.82755,0.000200253,0.000200253,0.000200253
14,91.7647,0.87935,2.96153,0.97228,0.0257,0.98701,0.36504,0.29576,0.66084,3.49675,0.81891,0.000213843,0.000213843,0.000213843
15,98.1928,0.76503,2.84631,0.94614,0.0244,0.98701,0.40831,0.33329,0.65804,3.48161,0.81555,0.000227074,0.000227074,0.000227074
16,104.928,0.75244,2.9602,0.90968,0.02295,0.98701,0.41971,0.34265,0.66841,3.47135,0.81447,0.000239944,0.000239944,0.000239944
17,111.697,0.76315,2.87181,0.91813,0.02164,0.98701,0.42708,0.34054,0.67641,3.45513,0.81434,0.000252455,0.000252455,0.000252455
18,118.349,0.82968,2.65127,0.97008,0.02068,0.98701,0.43504,0.35391,0.67272,3.42738,0.81628,0.000264605,0.000264605,0.000264605
19,124.788,0.79951,2.63619,0.95304,0.01992,0.98701,0.43866,0.35816,0.6795,3.40553,0.81918,0.000276396,0.000276396,0.000276396
20,131.168,0.82559,2.59612,0.97883,0.01923,0.98701,0.44191,0.35402,0.70943,3.38413,0.82685,0.000287827,0.000287827,0.000287827
21,137.297,0.67475,2.55083,0.89537,0.01862,0.98701,0.42967,0.3387,0.72636,3.35431,0.83142,0.000298897,0.000298897,0.000298897
22,143.476,0.76599,2.32291,0.92043,0.01778,0.98701,0.4415,0.34657,0.73521,3.32274,0.83409,0.000309608,0.000309608,0.000309608
23,149.636,0.77978,2.26468,0.96212,0.01711,0.98701,0.44157,0.34864,0.71331,3.28315,0.8335,0.000319959,0.000319959,0.000319959
24,155.696,0.80446,2.31005,0.98613,0.8424,0.41719,0.4185,0.3333,0.68937,3.2386,0.83052,0.00032995,0.00032995,0.00032995
25,161.847,0.75574,2.23255,0.9261,0.95817,0.13888,0.42065,0.33994,0.67231,3.19854,0.82805,0.000339581,0.000339581,0.000339581
26,168.231,0.77349,1.99493,0.97582,0.95484,0.16409,0.45904,0.38085,0.65732,3.17118,0.82505,0.000348851,0.000348851,0.000348851
